symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
Industrials,TRATON,SEK,5020,,DE000TRAT0N7,,,,,,,,,,,,,,,,
AAK.ST,AAK,SEK,Consumer Goods,4510,SE0011337708,26.11194,6.7,1.0,2.995001,0.127241120533863,16.798,0.167430636031268,1.637,0.0826326471440997,0.913333333333333,0.488444,0.972529,,0.0,30.0,10.0
ABBN.SW,ABB Ltd,SEK,Industrials,5020,CH0012221716,14.984376,1.92,1.0,4.5623217,0.0655868359028853,13.369,0.164764225857915,1.045,0.000641674499313137,1.28554778554779,1.003916,1.8480849,,10.0,30.0,10.0
ADDT-B.ST,Addtech B,SEK,Industrials,5020,SE0014781795,33.52174,4.6,1.0,8.934468,0.000884766316026192,21.649,0.141132868542836,1.346,0.164194915254237,1.28010471204189,1.240893,2.5494285,,0.0,50.0,50.0
AFRY.ST,AFRY,SEK,Industrials,5010,SE0005999836,22.209303,7.74,1.0,1.6637952,-0.162997088598645,13.88,0.423002260619595,1.052,0.303434704830054,0.843891402714932,1.261261,0.90085363,,10.0,20.0,40.0
ALFA.ST,Alfa Laval,SEK,Industrials,5020,SE0000695876,26.236843,11.4,1.0,3.6564791,0.049949116052631,16.274,0.141993000290591,1.327,0.0424064328923425,0.967853042479908,1.243243,2.6121323,BIG CAP,0.0,40.0,0.0
ALIF-B.ST,AddLife B,SEK,Health Care,2010,SE0014401378,24.021978,4.55,1.0,2.774323,0.000679176414442067,12.598,0.443025979489294,0.826,0.936945921985816,0.777070063694268,1.239717,1.6048728,,0.0,30.0,40.0
ALIV-SDB.ST,Autoliv SDB,SEK,Consumer Services,4010,SE0000382335,18.549702,45.37,1.0,29.49257,0.0169399493366016,83.942,0.0252457232971512,1.037,-0.0521306261667166,0.977401129943503,1.658764,8.538484,,0.0,50.0,0.0
ALK-B.CO,ALK-Abelló B,DKK,Health Care,2010,DK0061802139,68.15068,1.46,1.0,5.5683026,0.00575902583323714,39.205,0.0327012510356857,1.976,0.166037735849057,0.693877551020408,0.334116,5.1858416,,0.0,50.0,40.0
ALLEI.ST,Alleima,SEK,Basic Materials,5510,SE0017615644,6.610635,5.83,1.0,0.604568,0.00144795642215948,3.448,0.155448471083923,2.318,0.0,-0.0884353741496599,,0.5721892,,60.0,10.0,0.0
ALMB.CO,Alm. Brand,DKK,Financials,3030,DK0015250344,57.399998,0.2,1.0,1.2984957,,17.475,0.110086525811543,0.18,-0.133887320328542,4.31612903225807,1.096357,2.313225,FINANCE,10.0,40.0,20.0
AMBU-B.CO,Ambu,DKK,Health Care,2010,DK0060946788,266.48648,0.37,1.0,5.879196,0.027690930302833,100.012,0.0851496077275123,1.984,0.315957446808511,-0.175,0.631022,5.6860065,,0.0,50.0,40.0
ARION.IC,Arion banki,ISK,Financials,3010,IS0000028157,12.71605,12.15,1.0,1.2372471,0.811854032047482,0.0,1.93000075742035,,0.164671013633669,0.0,0.672476,3.974718,FINANCE,20.0,30.0,40.0
ARION-SDB.ST,Arion Banki SDB,SEK,Financials,3010,SE0010413567,12.876405,0.89,1.0,0.0,10.9451525262946,0.0,593355.407959069,,0.164671013633669,0.0,0.672476,,FINANCE,10.0,70.0,40.0
ARJO-B.ST,Arjo B,SEK,Health Care,2010,SE0010468116,19.22971,2.181,1.0,1.8184183,0.16746625120827,11.564,0.606135058148154,1.37,0.0752403553608373,0.596428571428571,0.304311,1.20536,,10.0,30.0,10.0
ASSA-B.ST,ASSA ABLOY B,SEK,Industrials,5010,SE0007100581,27.222029,8.607,1.0,4.088934,-0.0273688977144216,14.713,0.127759341594227,1.258,0.0729969779173806,1.29775943396226,0.679075,2.4476929,BIG CAP,0.0,40.0,20.0
ATCO-A.ST,Atlas Copco A,SEK,Industrials,5020,SE0017486889,10.417138,12.37,1.0,2.5772,0.00921712504556835,18.475,0.320192058966015,1.241,0.0743632226335162,1.41663848495096,1.005562,1.141184,BIG CAP,10.0,20.0,20.0
0XXV.IL,Atlas Copco B,SEK,Industrials,5020,SE0017486897,8.152114,14.288,1.0,2.29485,0.0216493555427588,16.736,0.752073091365533,1.241,0.0743632226335162,1.41663848495096,1.005562,1.2193689,,20.0,30.0,20.0
ATRLJ-B.ST,Atrium Ljungberg B,SEK,Real Estate,3510,SE0000191827,8.963741,19.802,1.0,1.0033804,,27.921,1.18031015359741,2.27,0.0805439330543933,1.25885558583106,0.893881,7.5699863,,30.0,20.0,20.0
AXFO.ST,Axfood,SEK,Consumer Goods,4520,SE0006993770,30.493565,9.32,1.0,18.327208,0.0544527776864614,15.745,0.1150138210853,0.649,0.093958614952688,1.65056360708535,0.156611,0.839409,,0.0,50.0,20.0
AZA.ST,Avanza Bank Holding,SEK,Financials,3010,SE0012454072,19.99623,10.607,1.0,8.955413,0.016001541384841,0.0,0.00284875926169518,0.496,0.832656376929326,0.0,1.063329,10.002068,FINANCE,0.0,50.0,40.0
AZN.L,AstraZeneca,SEK,Health Care,2010,GB0009895292,51.908257,218.0,1.0,1028.9143,-0.00131842727049106,14.427,0.00179022302750003,0.959,0.2506564056134,24.6463414634146,0.164741,3.9813366,BIG CAP,0.0,50.0,60.0
BALD-B.ST,Fast. Balder B,SEK,Real Estate,3510,SE0017832488,1.3379993,36.79,1.0,0.1577153,0.103967268466433,23.999,15.2569933899324,2.024,0.181768855127509,0.997973657548126,1.019683,0.8326195,,40.0,50.0,40.0
